class,manufacturer,hwy
subcompact,volkswagen,32.833333333333336
subcompact,honda,32.55555555555556
compact,toyota,30.583333333333332
compact,volkswagen,28.5
midsize,toyota,28.285714285714285
compact,nissan,28.0
midsize,hyundai,27.714285714285715
midsize,chevrolet,27.6
midsize,volkswagen,27.571428571428573
midsize,nissan,27.428571428571427
compact,audi,26.933333333333334
midsize,pontiac,26.4
subcompact,hyundai,26.0
subcompact,subaru,26.0
compact,subaru,26.0
suv,subaru,25.0
2seater,chevrolet,24.8
midsize,audi,24.0
subcompact,ford,23.22222222222222
minivan,dodge,22.363636363636363
pickup,toyota,19.428571428571427
suv,toyota,18.25
suv,mercury,18.0
suv,nissan,18.0
suv,ford,17.77777777777778
suv,jeep,17.625
suv,chevrolet,17.11111111111111
suv,lincoln,17.0
suv,land rover,16.5
pickup,ford,16.428571428571427
pickup,dodge,16.105263157894736
suv,dodge,16.0
